Year,Month,temp_2,temp_1,temp_3,actual
2001,1,0.3,0.28,0.26,0.46
2001,2,0.28,0.46,0.3,0.44
2001,3,0.46,0.44,0.28,0.55
2001,4,0.44,0.55,0.46,0.5
2001,5,0.55,0.5,0.44,0.57
2001,6,0.5,0.57,0.55,0.51
2001,7,0.57,0.51,0.5,0.59
2001,8,0.51,0.59,0.57,0.49
2001,9,0.59,0.49,0.51,0.52
2001,10,0.49,0.52,0.59,0.5
2001,11,0.52,0.5,0.49,0.72
2001,12,0.5,0.72,0.52,0.55
2002,1,0.72,0.55,0.5,0.77
2002,2,0.55,0.77,0.72,0.78
2002,3,0.77,0.78,0.55,0.88
2002,4,0.78,0.88,0.77,0.58
2002,5,0.88,0.58,0.78,0.64
2002,6,0.58,0.64,0.88,0.52
2002,7,0.64,0.52,0.58,0.6
2002,8,0.52,0.6,0.64,0.53
2002,9,0.6,0.53,0.52,0.62
2002,10,0.53,0.62,0.6,0.53
2002,11,0.62,0.53,0.53,0.58
2002,12,0.53,0.58,0.62,0.43
2003,1,0.58,0.43,0.53,0.75
2003,2,0.43,0.75,0.58,0.58
2003,3,0.75,0.58,0.43,0.59
2003,4,0.58,0.59,0.75,0.55
2003,5,0.59,0.55,0.58,0.6
2003,6,0.55,0.6,0.59,0.47
2003,7,0.6,0.47,0.55,0.57
2003,8,0.47,0.57,0.6,0.64
2003,9,0.57,0.64,0.47,0.62
2003,10,0.64,0.62,0.57,0.72
2003,11,0.62,0.72,0.64,0.53
2003,12,0.72,0.53,0.62,0.74
2004,1,0.53,0.74,0.72,0.58
2004,2,0.74,0.58,0.53,0.72
2004,3,0.58,0.72,0.74,0.63
2004,4,0.72,0.63,0.58,0.61
2004,5,0.63,0.61,0.72,0.37
2004,6,0.61,0.37,0.63,0.43
2004,7,0.37,0.43,0.61,0.26
2004,8,0.43,0.26,0.37,0.45
2004,9,0.26,0.45,0.43,0.5
2004,10,0.45,0.5,0.26,0.6
2004,11,0.5,0.6,0.45,0.72
2004,12,0.6,0.72,0.5,0.5
2005,1,0.72,0.5,0.6,0.74
2005,2,0.5,0.74,0.72,0.6
2005,3,0.74,0.6,0.5,0.74
2005,4,0.6,0.74,0.74,0.68
2005,5,0.74,0.68,0.6,0.62
2005,6,0.68,0.62,0.74,0.64
2005,7,0.62,0.64,0.68,0.61
2005,8,0.64,0.61,0.62,0.6
2005,9,0.61,0.6,0.64,0.7
2005,10,0.6,0.7,0.61,0.74
2005,11,0.7,0.74,0.6,0.73
2005,12,0.74,0.73,0.7,0.68
2006,1,0.73,0.68,0.74,0.55
2006,2,0.68,0.55,0.73,0.72
2006,3,0.55,0.72,0.68,0.62
2006,4,0.72,0.62,0.55,0.48
2006,5,0.62,0.48,0.72,0.48
2006,6,0.48,0.48,0.62,0.65
2006,7,0.48,0.65,0.48,0.53
2006,8,0.65,0.53,0.48,0.7
2006,9,0.53,0.7,0.65,0.64
2006,10,0.7,0.64,0.53,0.69
2006,11,0.64,0.69,0.7,0.73
2006,12,0.69,0.73,0.64,0.79
2007,1,0.73,0.79,0.69,1.02
2007,2,0.79,1.02,0.73,0.69
2007,3,1.02,0.69,0.79,0.72
2007,4,0.69,0.72,1.02,0.76
2007,5,0.72,0.76,0.69,0.69
2007,6,0.76,0.69,0.72,0.61
2007,7,0.69,0.61,0.76,0.59
2007,8,0.61,0.59,0.69,0.59
2007,9,0.59,0.59,0.61,0.59
2007,10,0.59,0.59,0.59,0.58
2007,11,0.59,0.58,0.59,0.58
2007,12,0.58,0.58,0.59,0.49
